Name,Ticker,Date,Surprise
Kohl's Corp,KSS,2017-08-10,4.4
Macy's Inc,M,2017-08-10,6.2
Nordstrom Inc,JWN,2017-08-10,2.5
NVIDIA Corp,NVDA,2017-08-10,23.9
Home Depot Inc/The,HD,2017-08-15,1.5
TJX Cos Inc/The,TJX,2017-08-15,1.1
Target Corp,TGT,2017-08-16,3.1
L Brands Inc,LB,2017-08-16,6.9
Walmart Inc,WMT,2017-08-17,1
Ross Stores Inc,ROST,2017-08-17,7
Gap Inc/The,GPS,2017-08-17,11.7
Foot Locker Inc,FL,2017-08-18,-30.8
salesforce.com Inc,CRM,2017-08-22,4.4
Lowe's Cos Inc,LOW,2017-08-23,-2.9
PVH Corp,PVH,2017-08-23,2.9
Tiffany & Co,TIF,2017-08-24,6.4
Dollar Tree Inc,DLTR,2017-08-24,13.4
Autodesk Inc,ADSK,2017-08-24,27.6
Ulta Beauty Inc,ULTA,2017-08-24,3.5
Best Buy Co Inc,BBY,2017-08-29,9.7
Dollar General Corp,DG,2017-08-31,0.3
Kroger Co/The,KR,2017-09-08,-0.5
CarMax Inc,KMX,2017-09-22,3.6
Red Hat Inc,RHT,2017-09-25,14.8
Constellation Brands Inc,STZ,2017-10-05,14.1
Xilinx Inc,XLNX,2017-10-25,4
McKesson Corp,MCK,2017-10-26,17.3
ABIOMED Inc,ABMD,2017-10-26,14
Electronic Arts Inc,EA,2017-10-31,-112.2
Qorvo Inc,QRVO,2017-11-01,-74.9
Symantec Corp,SYMC,2017-11-01,-6.1
Ralph Lauren Corp,RL,2017-11-02,5.6
Capri Holdings Ltd,CPRI,2017-11-06,59.7
Microchip Technology Inc,MCHP,2017-11-06,-0.8
Take-Two Interactive Software,TTWO,2017-11-07,47.1
DXC Technology Co,DXC,2017-11-07,26.6
NetApp Inc,NTAP,2017-11-15,17.6
JM Smucker Co/The,SJM,2017-11-16,6.4
Medtronic PLC,MDT,2017-11-21,4.7
Brown-Forman Corp,BF/B,2017-12-06,16.1
H&R Block Inc,HRB,2017-12-06,1.6
Oracle Corp,ORCL,2017-12-14,2.6
Darden Restaurants Inc,DRI,2017-12-19,3.7
FedEx Corp,FDX,2017-12-19,10.2
General Mills Inc,GIS,2017-12-20,-0.1
Conagra Brands Inc,CAG,2017-12-21,6
Paychex Inc,PAYX,2017-12-21,-0.5
NIKE Inc,NKE,2017-12-21,14.1
Cintas Corp,CTAS,2017-12-21,3
Lamb Weston Holdings Inc,LW,2018-01-04,2.7
ResMed Inc,RMD,2018-01-22,31.4
Procter & Gamble Co/The,PG,2018-01-23,4.5
Lam Research Corp,LRCX,2018-01-24,17.7
Maxim Integrated Products Inc,MXIM,2018-01-25,0.8
Western Digital Corp,WDC,2018-01-25,3.5
KLA-Tencor Corp,KLAC,2018-01-25,13.2
Seagate Technology PLC,STX,2018-01-29,5.5
Harris Corp,HRS,2018-01-30,20.8
Automatic Data Processing Inc,ADP,2018-01-31,10.5
Microsoft Corp,MSFT,2018-01-31,11.4
Parker-Hannifin Corp,PH,2018-02-01,4.1
Clorox Co/The,CLX,2018-02-02,-5.3
Estee Lauder Cos Inc/The,EL,2018-02-02,5.3
Sysco Corp,SYY,2018-02-05,20.6
Tapestry Inc,TPR,2018-02-06,21.6
Jack Henry & Associates Inc,JKHY,2018-02-06,-0.7
Coty Inc,COTY,2018-02-08,38.5
Broadridge Financial Solutions,BR,2018-02-08,44.7
Cardinal Health Inc,CAH,2018-02-08,30.8
News Corp,NWSA,2018-02-08,29
Cisco Systems Inc,CSCO,2018-02-14,6.6
Campbell Soup Co,CPB,2018-02-16,19.6
Intuit Inc,INTU,2018-02-22,2.9
Copart Inc,CPRT,2018-02-26,19.3
AutoZone Inc,AZO,2018-02-27,-4.3
Costco Wholesale Corp,COST,2018-03-07,-4.6
Accenture PLC,ACN,2018-03-22,6.3
Micron Technology Inc,MU,2018-03-22,2.8
Walgreens Boots Alliance Inc,WBA,2018-03-28,11.1
TE Connectivity Ltd,TEL,2018-04-25,4.3
Viacom Inc,VIAB,2018-04-25,16.3
Rockwell Automation Inc,ROK,2018-04-25,4
QUALCOMM Inc,QCOM,2018-04-25,14.8
Visa Inc,V,2018-04-25,9.1
F5 Networks Inc,FFIV,2018-04-25,4.1
Varian Medical Systems Inc,VAR,2018-04-25,11
Raymond James Financial Inc,RJF,2018-04-25,0.3
Helmerich & Payne Inc,HP,2018-04-26,25.5
Air Products & Chemicals Inc,APD,2018-04-26,1.8
DR Horton Inc,DHI,2018-04-26,18.7
Franklin Resources Inc,BEN,2018-04-26,4.3
Starbucks Corp,SBUX,2018-04-26,0
Westrock Co,WRK,2018-04-27,-0.2
Emerson Electric Co,EMR,2018-05-01,6.1
Johnson Controls International,JCI,2018-05-01,2.3
TransDigm Group Inc,TDG,2018-05-01,1.4
Apple Inc,AAPL,2018-05-01,3.6
AmerisourceBergen Corp,ABC,2018-05-02,6.7
Hologic Inc,HOLX,2018-05-02,-0.7
Atmos Energy Corp,ATO,2018-05-02,1.4
Becton Dickinson and Co,BDX,2018-05-03,0.8
Skyworks Solutions Inc,SWKS,2018-05-03,-6.1
Tyson Foods Inc,TSN,2018-05-07,-2.7
Jacobs Engineering Group Inc,JEC,2018-05-08,13.9
Walt Disney Co/The,DIS,2018-05-08,8.4
Agilent Technologies Inc,A,2018-05-14,1.1
Applied Materials Inc,AMAT,2018-05-17,7.1
Deere & Co,DE,2018-05-18,-5.2
Hewlett Packard Enterprise Co,HPE,2018-05-22,10.7
Synopsys Inc,SNPS,2018-05-23,-0.1
Hormel Foods Corp,HRL,2018-05-24,-3
HP Inc,HPQ,2018-05-29,0.8
Analog Devices Inc,ADI,2018-05-30,5.7
Keysight Technologies Inc,KEYS,2018-05-30,-0.4
Broadcom Inc,AVGO,2018-06-07,4.3
Cooper Cos Inc/The,COO,2018-06-07,0.8
Adobe Inc,ADBE,2018-06-14,7.7
Carnival Corp,CCL,2018-06-25,14.7
IHS Markit Ltd,INFO,2018-06-26,7.2
Lennar Corp,LEN,2018-06-26,260.7
McCormick & Co Inc/MD,MKC,2018-06-28,10.3
PepsiCo Inc,PEP,2018-07-10,5.8
Fastenal Co,FAST,2018-07-11,5.9
Delta Air Lines Inc,DAL,2018-07-12,3
JPMorgan Chase & Co,JPM,2018-07-13,3.7
PNC Financial Services Group I,PNC,2018-07-13,4
Citigroup Inc,C,2018-07-13,3.6
First Republic Bank/CA,FRC,2018-07-13,3.2
Wells Fargo & Co,WFC,2018-07-13,-12.3
BlackRock Inc,BLK,2018-07-16,1
Bank of America Corp,BAC,2018-07-16,11.9
JB Hunt Transport Services Inc,JBHT,2018-07-16,8
Netflix Inc,NFLX,2018-07-16,7.1
UnitedHealth Group Inc,UNH,2018-07-17,3.5
Comerica Inc,CMA,2018-07-17,14.3
Johnson & Johnson,JNJ,2018-07-17,1.4
Omnicom Group Inc,OMC,2018-07-17,3.5
Goldman Sachs Group Inc/The,GS,2018-07-17,28.4
Prologis Inc,PLD,2018-07-17,0.3
Progressive Corp/The,PGR,2018-07-17,3.6
Charles Schwab Corp/The,SCHW,2018-07-17,3.1
CSX Corp,CSX,2018-07-17,16.4
United Continental Holdings In,UAL,2018-07-17,5.5
Textron Inc,TXT,2018-07-18,24.8
US Bancorp,USB,2018-07-18,1.5
M&T Bank Corp,MTB,2018-07-18,2.8
Morgan Stanley,MS,2018-07-18,12.6
Northern Trust Corp,NTRS,2018-07-18,4.8
Abbott Laboratories,ABT,2018-07-18,3
WW Grainger Inc,GWW,2018-07-18,17.9
International Business Machine,IBM,2018-07-18,1.4
Kinder Morgan Inc/DE,KMI,2018-07-18,9.9
SL Green Realty Corp,SLG,2018-07-18,0.2
American Express Co,AXP,2018-07-18,0.7
United Rentals Inc,URI,2018-07-18,11.9
eBay Inc,EBAY,2018-07-18,3.5
Crown Castle International Cor,CCI,2018-07-18,3.9
BB&T Corp,BBT,2018-07-19,0.1
Danaher Corp,DHR,2018-07-19,5.8
Snap-on Inc,SNA,2018-07-19,5.6
Fifth Third Bancorp,FITB,2018-07-19,10.3
Bank of New York Mellon Corp/T,BK,2018-07-19,0.8
KeyCorp,KEY,2018-07-19,9.5
Dover Corp,DOV,2018-07-19,7.5
PPG Industries Inc,PPG,2018-07-19,1.2
Travelers Cos Inc/The,TRV,2018-07-19,-24.8
Philip Morris International In,PM,2018-07-19,14.6
Alliance Data Systems Corp,ADS,2018-07-19,8.1
Union Pacific Corp,UNP,2018-07-19,1.7
Genuine Parts Co,GPC,2018-07-19,0.9
Nucor Corp,NUE,2018-07-19,-0.4
Intuitive Surgical Inc,ISRG,2018-07-19,10.7
People's United Financial Inc,PBCT,2018-07-19,1.3
Capital One Financial Corp,COF,2018-07-19,22.6
E*TRADE Financial Corp,ETFC,2018-07-19,7.4
Celanese Corp,CE,2018-07-19,19.1
Regions Financial Corp,RF,2018-07-20,2.1
Stanley Black & Decker Inc,SWK,2018-07-20,27.3
SunTrust Banks Inc,STI,2018-07-20,13.9
State Street Corp,STT,2018-07-20,2.1
Honeywell International Inc,HON,2018-07-20,5.3
Citizens Financial Group Inc,CFG,2018-07-20,3.2
Baker Hughes a GE Co,BHGE,2018-07-20,-27
General Electric Co,GE,2018-07-20,8
Schlumberger Ltd,SLB,2018-07-20,1.2
Kansas City Southern,KSU,2018-07-20,1.9
Hasbro Inc,HAS,2018-07-23,67.5
Halliburton Co,HAL,2018-07-23,-0.7
Illinois Tool Works Inc,ITW,2018-07-23,-0.1
Alphabet Inc,GOOGL,2018-07-23,11.3
Cadence Design Systems Inc,CDNS,2018-07-23,12.8
Zions Bancorp NA,ZION,2018-07-23,-2.3
Whirlpool Corp,WHR,2018-07-23,-13.5
Centene Corp,CNC,2018-07-24,1.4
Harley-Davidson Inc,HOG,2018-07-24,7.6
Eli Lilly & Co,LLY,2018-07-24,15.7
Biogen Inc,BIIB,2018-07-24,11.7
Quest Diagnostics Inc,DGX,2018-07-24,-0.3
Avery Dennison Corp,AVY,2018-07-24,7.2
Waters Corp,WAT,2018-07-24,1.5
United Technologies Corp,UTX,2018-07-24,6.3
IQVIA Holdings Inc,IQV,2018-07-24,4.2
Sherwin-Williams Co/The,SHW,2018-07-24,1.5
Interpublic Group of Cos Inc/T,IPG,2018-07-24,1.2
Verizon Communications Inc,VZ,2018-07-24,5
3M Co,MMM,2018-07-24,0.5
Kimberly-Clark Corp,KMB,2018-07-24,1.3
Lockheed Martin Corp,LMT,2018-07-24,9.9
PACCAR Inc,PCAR,2018-07-24,11.7
Wabtec Corp,WAB,2018-07-24,3
Texas Instruments Inc,TXN,2018-07-24,7.4
Stryker Corp,SYK,2018-07-24,1.9
Chubb Ltd,CB,2018-07-24,2.2
AT&T Inc,T,2018-07-24,7.4
Robert Half International Inc,RHI,2018-07-24,4.7
Total System Services Inc,TSS,2018-07-24,3.8
Ameriprise Financial Inc,AMP,2018-07-24,4.3
Equity Residential,EQR,2018-07-24,1.4
Thermo Fisher Scientific Inc,TMO,2018-07-25,4.9
Anthem Inc,ANTM,2018-07-25,2.2
Hilton Worldwide Holdings Inc,HLT,2018-07-25,-0.4
Boston Scientific Corp,BSX,2018-07-25,19.5
Ingersoll-Rand PLC,IR,2018-07-25,7.4
Northrop Grumman Corp,NOC,2018-07-25,2.4
DTE Energy Co,DTE,2018-07-25,21.9
AO Smith Corp,AOS,2018-07-25,6.5
Laboratory Corp of America Hol,LH,2018-07-25,1.7
American Electric Power Co Inc,AEP,2018-07-25,13.2
United Parcel Service Inc,UPS,2018-07-25,0.6
Nasdaq Inc,NDAQ,2018-07-25,0.8
Pentair PLC,PNR,2018-07-25,2.9
General Motors Co,GM,2018-07-25,2
Coca-Cola Co/The,KO,2018-07-25,1.2
Waste Management Inc,WM,2018-07-25,1.8
Corning Inc,GLW,2018-07-25,4.1
General Dynamics Corp,GD,2018-07-25,5.3
FLIR Systems Inc,FLIR,2018-07-25,12.7
Hess Corp,HES,2018-07-25,24.1
Rollins Inc,ROL,2018-07-25,-4.1
Boeing Co/The,BA,2018-07-25,1.7
NextEra Energy Inc,NEE,2018-07-25,2
Huntington Bancshares Inc/OH,HBAN,2018-07-25,2.7
T Rowe Price Group Inc,TROW,2018-07-25,3.7
Amphenol Corp,APH,2018-07-25,5.6
Norfolk Southern Corp,NSC,2018-07-25,7.3
Freeport-McMoRan Inc,FCX,2018-07-25,10.1
HCA Healthcare Inc,HCA,2018-07-25,5.7
Align Technology Inc,ALGN,2018-07-25,19.5
